,clip_name,label
22627,train22628.aiff,0
28188,train28189.aiff,0
8227,train8228.aiff,0
24056,train24057.aiff,0
705,train706.aiff,0
24067,train24068.aiff,0
29185,train29186.aiff,0
870,train871.aiff,0
14717,train14718.aiff,0
21572,train21573.aiff,0
16396,train16397.aiff,0
29237,train29238.aiff,0
7665,train7666.aiff,0
7989,train7990.aiff,0
2075,train2076.aiff,0
13583,train13584.aiff,0
25561,train25562.aiff,0
25397,train25398.aiff,0
6998,train6999.aiff,0
14918,train14919.aiff,0
12219,train12220.aiff,0
14865,train14866.aiff,0
8111,train8112.aiff,0
5131,train5132.aiff,0
16985,train16986.aiff,0
24121,train24122.aiff,0
28253,train28254.aiff,0
13041,train13042.aiff,0
1087,train1088.aiff,0
27941,train27942.aiff,0
22966,train22967.aiff,0
21401,train21402.aiff,0
21467,train21468.aiff,0
11769,train11770.aiff,0
10524,train10525.aiff,0
6270,train6271.aiff,0
23772,train23773.aiff,0
3460,train3461.aiff,0
5271,train5272.aiff,0
22114,train22115.aiff,0
5025,train5026.aiff,0
1716,train1717.aiff,0
9596,train9597.aiff,0
24930,train24931.aiff,0
13002,train13003.aiff,0
23718,train23719.aiff,0
16526,train16527.aiff,0
14564,train14565.aiff,0
8865,train8866.aiff,0
5751,train5752.aiff,0
24539,train24540.aiff,0
18363,train18364.aiff,0
19089,train19090.aiff,0
15774,train15775.aiff,0
3694,train3695.aiff,0
3660,train3661.aiff,0
17581,train17582.aiff,0
13025,train13026.aiff,0
27111,train27112.aiff,0
21050,train21051.aiff,0
18701,train18702.aiff,0
18889,train18890.aiff,0
18361,train18362.aiff,0
12458,train12459.aiff,0
9418,train9419.aiff,0
18513,train18514.aiff,0
6133,train6134.aiff,0
14587,train14588.aiff,0
1893,train1894.aiff,0
3029,train3030.aiff,0
11502,train11503.aiff,0
1557,train1558.aiff,0
20895,train20896.aiff,0
9958,train9959.aiff,0
28275,train28276.aiff,0
7801,train7802.aiff,0
16330,train16331.aiff,0
1346,train1347.aiff,0
5175,train5176.aiff,0
