,clip_name,label
20155,train20156.aiff,0
19102,train19103.aiff,1
19763,train19764.aiff,1
5561,train5562.aiff,0
16244,train16245.aiff,0
18799,train18800.aiff,1
22403,train22404.aiff,0
10342,train10343.aiff,0
24608,train24609.aiff,1
29946,train29947.aiff,1
13301,train13302.aiff,0
25123,train25124.aiff,1
8986,train8987.aiff,1
28077,train28078.aiff,0
6309,train6310.aiff,1
7178,train7179.aiff,0
24579,train24580.aiff,1
25612,train25613.aiff,1
21435,train21436.aiff,0
14888,train14889.aiff,0
21388,train21389.aiff,0
5335,train5336.aiff,1
10251,train10252.aiff,0
993,train994.aiff,0
3079,train3080.aiff,1
9891,train9892.aiff,1
12815,train12816.aiff,1
16412,train16413.aiff,0
8227,train8228.aiff,0
9469,train9470.aiff,1
19243,train19244.aiff,0
13860,train13861.aiff,0
21391,train21392.aiff,0
839,train840.aiff,0
2561,train2562.aiff,0
26695,train26696.aiff,1
5461,train5462.aiff,0
28027,train28028.aiff,0
26809,train26810.aiff,1
13187,train13188.aiff,1
9204,train9205.aiff,0
22554,train22555.aiff,1
4890,train4891.aiff,1
18816,train18817.aiff,1
6444,train6445.aiff,1
1052,train1053.aiff,0
18757,train18758.aiff,0
11991,train11992.aiff,1
13313,train13314.aiff,0
14386,train14387.aiff,0
14961,train14962.aiff,0
18806,train18807.aiff,1
15471,train15472.aiff,0
9730,train9731.aiff,0
16470,train16471.aiff,0
29845,train29846.aiff,1
12588,train12589.aiff,1
29959,train29960.aiff,1
23145,train23146.aiff,0
8965,train8966.aiff,1
11930,train11931.aiff,1
26468,train26469.aiff,1
6191,train6192.aiff,0
3096,train3097.aiff,1
12852,train12853.aiff,0
18723,train18724.aiff,1
19008,train19009.aiff,1
793,train794.aiff,0
19606,train19607.aiff,1
10862,train10863.aiff,1
21962,train21963.aiff,0
18429,train18430.aiff,1
20788,train20789.aiff,1
26020,train26021.aiff,1
5682,train5683.aiff,0
23765,train23766.aiff,0
12088,train12089.aiff,1
137,train138.aiff,0
19649,train19650.aiff,1
19252,train19253.aiff,1
25422,train25423.aiff,1
17473,train17474.aiff,0
22784,train22785.aiff,1
12779,train12780.aiff,0
4427,train4428.aiff,0
25242,train25243.aiff,1
29124,train29125.aiff,0
24729,train24730.aiff,1
18850,train18851.aiff,0
24543,train24544.aiff,0
23250,train23251.aiff,1
23660,train23661.aiff,0
9275,train9276.aiff,1
9919,train9920.aiff,0
7161,train7162.aiff,1
27456,train27457.aiff,0
21862,train21863.aiff,1
5258,train5259.aiff,1
10709,train10710.aiff,1
2164,train2165.aiff,0
17324,train17325.aiff,0
18711,train18712.aiff,1
23178,train23179.aiff,1
6771,train6772.aiff,0
11735,train11736.aiff,0
2616,train2617.aiff,0
14416,train14417.aiff,0
7255,train7256.aiff,0
25646,train25647.aiff,1
2686,train2687.aiff,1
24801,train24802.aiff,0
11658,train11659.aiff,1
5129,train5130.aiff,0
9721,train9722.aiff,1
6779,train6780.aiff,0
21376,train21377.aiff,0
5733,train5734.aiff,0
19543,train19544.aiff,1
24338,train24339.aiff,0
13418,train13419.aiff,0
21889,train21890.aiff,1
29268,train29269.aiff,0
5447,train5448.aiff,0
8051,train8052.aiff,1
11977,train11978.aiff,1
3031,train3032.aiff,1
15775,train15776.aiff,0
5907,train5908.aiff,0
6301,train6302.aiff,1
9389,train9390.aiff,1
11623,train11624.aiff,1
25639,train25640.aiff,1
8658,train8659.aiff,0
2751,train2752.aiff,0
23213,train23214.aiff,1
21890,train21891.aiff,1
26766,train26767.aiff,1
25267,train25268.aiff,1
18194,train18195.aiff,0
20837,train20838.aiff,1
21014,train21015.aiff,0
18553,train18554.aiff,1
25650,train25651.aiff,0
17124,train17125.aiff,0
9983,train9984.aiff,0
29326,train29327.aiff,0
17439,train17440.aiff,0
5518,train5519.aiff,1
20068,train20069.aiff,0
10492,train10493.aiff,0
26861,train26862.aiff,1
4969,train4970.aiff,1
5364,train5365.aiff,1
14425,train14426.aiff,0
18724,train18725.aiff,1
23766,train23767.aiff,0
18548,train18549.aiff,1
2091,train2092.aiff,0
10090,train10091.aiff,1
28810,train28811.aiff,0
5028,train5029.aiff,1
3508,train3509.aiff,0
1300,train1301.aiff,0
26568,train26569.aiff,0
17600,train17601.aiff,0
26773,train26774.aiff,1
833,train834.aiff,0
19504,train19505.aiff,1
16086,train16087.aiff,0
25942,train25943.aiff,1
9220,train9221.aiff,0
10216,train10217.aiff,1
16427,train16428.aiff,0
6766,train6767.aiff,0
19489,train19490.aiff,0
24656,train24657.aiff,1
5942,train5943.aiff,0
26461,train26462.aiff,1
25211,train25212.aiff,0
22742,train22743.aiff,0
1609,train1610.aiff,0
1866,train1867.aiff,1
15156,train15157.aiff,0
18385,train18386.aiff,1
5283,train5284.aiff,0
26309,train26310.aiff,0
23226,train23227.aiff,1
1598,train1599.aiff,0
1559,train1560.aiff,0
28311,train28312.aiff,0
